id,bus_route_id,bus_stop_id,bus_stop_number,created_at,updated_at
189,1237,28,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
190,714,28,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
191,690,28,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
192,527,28,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
193,528,28,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
194,660,28,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
195,676,28,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
196,677,28,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
197,679,28,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
198,682,28,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
199,1260,28,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
200,1261,28,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
201,911,29,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
202,912,29,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
203,913,29,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
204,914,29,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
205,915,29,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
206,916,29,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
207,917,29,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
208,918,29,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
209,919,29,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
210,920,29,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
211,921,29,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
212,922,29,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
213,923,29,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
214,924,29,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
215,925,29,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
216,927,29,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
217,928,29,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
218,929,29,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
219,930,29,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
220,931,29,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
221,932,29,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
222,933,29,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
223,938,29,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
224,926,29,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
225,628,30,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
226,629,30,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
227,630,30,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
228,631,30,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
229,632,30,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
230,642,31,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
231,460,32,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
232,501,32,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
233,502,32,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
234,503,32,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
235,505,32,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
236,506,32,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
237,501,33,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
238,502,33,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
239,503,33,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
240,505,33,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
241,506,33,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
242,459,34,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
243,911,34,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
244,938,34,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
245,590,35,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
246,50,35,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
